client_code,client_label,label_type,address,zip_code,city,Longitude,latitude,radius
15200,ARMEMENT JEAN RENET,Client,47 RUE DE REVILLE,50550,ST VAAST LA HOUGUE,,,80
3039,KP1,Client,USINE DE ROTS,14653,CARPIQUET CEDEX,,,80
3916,TRANSPORTS GODFROY,Client,BP 80170,14652,CARPIQUET CEDEX,,,80
7786,PROXILOG,Client,SITE ROTS,14653,CARPIQUET,,,80
13513,NORMANDIE MENUISERIES,Client,213/217 RUE DE L AVENIR,14650,CARPIQUET,,,80
3218,THIBAUT,Client,AVENUE DE BISCHWILLER,14500,VIRE,,,80
11265,SCLV,Client,RUE DES ALBATROS,14520,PORT EN BESSIN HUPPAIN,,,80
4848,CARPIQUET PALETTES,Client,Z.I. OUEST,14650,CARPIQUET,,,80
11595,POMONA EPISAVEURS,Client,TPTS CHEZ TRANSPORT MALHE,14980,ROTS,,,80
3746,CHAPUZET GUY,Client,LIEU DIT LES HEUDINIERES,50420,ST VIGOR DES MONTS,,,80
13160,AGRIAL - CESNY BOIS HALBOUT,Client,RUE DE LA POSTE,14220,CESNY BOIS HALBOUT,,,80
14727,DOVILLE,Client,12 RUE DES FORQUES,14760,BRETTEVILLE SUR ODON,,,80
6258,GESTION INFORMATIQUE DES,Client,STOCKS,14110,CONDE SUR NOIREAU,,,80
4721,BROCHAGE 14 DIFFUSION,Client,ZAC DE LA GRANDE PLAINE,14760,BRETTEVILLE SUR ODON,,,80
13168,DISTRICO ESSON,Client,ROUTE DE FALAISE,14220,ESSON,,,80
9032,AE2 DEVELOPPEMENT,Client,31 BLD DE LA PAIX,14200,HEROUVILLE ST CLAIR,,,80
3100,DECOLLETAGE DE BASSE NDIE,Client,Z.I. RUE D AUDRIEU,14400,BAYEUX,,,80
3322,NOUET DEMENAGEMENTS,Client,Z.I. DE LA PLAINE,14760,BRETTEVILLE SUR ODON,,,80
3490,INSTITUT LEMONNIER,Client,B.P. 269,14013,CAEN CEDEX,,,80
9115,ARD CLOSMENIL,Client,CHEMIN DE LA ROUTIERE,14310,TRACY BOCAGE,,,80
15558,LES EPIS D OR,Client,15 ROUTE DE FONTAINE,14930,MALTOT,,,80
15534,CYDINE,Client,19 ROUTE DE VIRE,14110,CONDE EN NORMANDIE,,,80
6096,GARAGE MALHERBE,Client,SERVICE GARAGE,14653,CARPIQUET CEDEX,,,80
13464,NCR,Client,55 RUE DE LA LIBERTE,14730,GIBERVILLE,,,80
5480,CONSEIL GENERAL DU CALVADOS,Client,SCE MAINTENANCE DU,14650,CARPIQUET,,,80
14312,FERME DU MESNIL,Client,LE VIEUX BOIS,14330,LE MOLAY LITTRY,,,80
4206,LYCEE A. DE CAUMONT,Client,RUE BARON GERARD,14402,BAYEUX CEDEX,,,80
13635,ELISABETH COURSES,Client,170 AV DU PARC,14790,VERSON,,,80
14136,MALUSO,Client,170 AVENUE DU PARC,14790,VERSON,,,80
8374,CONSEIL DEPARTEMENTAL,Client,DU CALVADOS,14035,CAEN CEDEX 1,,,80
6704,KEOLIS CAEN MOBILITES,Client,"15, RUE DE GEOLE",14053,CAEN CEDEX,,,80
13196,AGRIAL - ST MARTIN DES BESACES,Client,ROUTE DE CAEN,14350,SOULEUVRE EN BOCAGE,,,80
13933,HUCHET FRERES,Client,HAMEAU VERAILLER,14250,JUAYE MONDAYE,,,80
14396,LECONTE ISOLATION,Client,ZA DU GRAND PRE,14500,VIRE NORMANDIE,,,80
10580,PATRIX CUISINES,Client,LA CROIX DES LANDES,14240,TORTEVAL QUESNAY,,,80
14350,NOLLET CAEN,Client,NOLLET,14200,HEROUVILLE ST CLAIR,,,80
