Nom,Code,Type,Adresse 1,Adresse 2,Adresse 3,CP,Ville
BATIMENT CFA NORMANDIE,15598,Client,16 RUE DE LA COTONNIERE,CENTRE DE FORMATION DES APPRENTIS,,14000,CAEN
ARF,7983,Client,35 RUE DE GAL MOULIN,CENTRE PENITENTIER,,14000,CAEN
CEDEO CHEZ LETNA,14532,Client,16 P BLD DE L ESPERANCE,CORMELLE LE ROYAL,,14000,CAEN
DPC,12526,Client,51 RUE GASTON LAMY,DEPOTS PETROLES COTIERS,,14000,CAEN
AGRIAL - CAEN,459,Client,4 RUE DES ROQUEMONTS,LA  FOLIE COUVRECHEF,,14000,CAEN
DISTRICO,10937,Client,4 RUE DES ROQUEMONTS,LA FOLIE COUVRECHEF,,14000,CAEN
DISTRICO - CAEN,4258,Client,4, RUE DES ROQUEMONTS,LA FOLIE COUVRECHEF,,14000,CAEN
LE BALLON VERT,15725,Client,9 RUE NEUVE BOURG L ABBE,MAISON DU QUARTIER CENTRE,,14000,CAEN
CAENNAISE DE DEVELOPPEMENT,12537,Client,66 AVENUE DE THIES,PERICENTRE2,,14000,CAEN
LAVOMATIQUE FRANCE,3427,Client,15, RUE DE LA COTONNIERE,ZI CHEMIN VERT,,14000,CAEN
CRLC,11892,Client,12 RUE COLBERT,ZI MONT COCO,,14000,CAEN
NORMANDY HADRONTHERAPY,15910,Client,1 rue Claude Bloch,,,14000,CAEN
COOPAMAT,5034,Client,10, PLACE MARECHAL FOCH,,,14000,CAEN
3849 CAEN POINT P,563,Client,110 COURS MONTALIVET,,,14000,CAEN
MARCELOT DECO,3661,Client,12 RUE J.B. COLBERT,,,14000,CAEN
R PUR,14871,Client,123 COURS CAFFARELLI,,,14000,CAEN
AFB FRANCE,13576,Client,123 COURS CAFFARELLI,,,14000,CAEN
JCV LOCATION,5345,Client,15, AV. DE PARIS,,,14000,CAEN
CHEMINEES FORTIN,15273,Client,16 RUE DES HAUTS DE BEAULIEU,,,14000,CAEN
AXIANE MEUNERIE,13330,Client,19 AVENUE VICTOR HUGO,,,14000,CAEN
MURATA,9046,Client,2 RUE DE LA GIRAFE,,,14000,CAEN
POLYCLINIQUE DU PARC,14684,Client,20 av Capit Georges Guynemer,,,14000,CAEN
LE MONDE DES SAVEURS,13098,Client,24 RUE D AUGE,,,14000,CAEN
TECHNICENTRE SNCF,3533,Client,3 RUE ROGER BASTION,,,14000,CAEN
SINAY,15728,Client,32 rue Villons les buissons,,,14000,CAEN
SABIOCA,13893,Client,35 AVENUE HENRY CHERON,,,14000,CAEN
JR SOUS TRAITANCE,10594,Client,35 RUE DU GENERAL MOULIN,,,14000,CAEN
CENTRE PENITENTIAIRE,7970,Client,35 RUE GAL MOULIN,,,14000,CAEN
ARCKEA,13236,Client,4 RUE DE LA COTONNIERE,,,14000,CAEN
CROIX ROUGE FRANCAISE,7309,Client,44 BIS BLD MAL LYAUTEY,,,14000,CAEN
SOFRILOG - CAEN,6821,Client,58 AV PIERRE BERTHELOT,,,14000,CAEN
OOFRAIS OUEST,13887,Client,58 AVENUE PIERRE BERTHELOT,,,14000,CAEN
AFTRAL,2036,Client,6 rue de la Cotonni�re,,,14000,CAEN
HUBERT PARQUETS,7326,Client,68 RUE DE FALAISE,,,14000,CAEN
AU CLAIR PRODUCTION,9572,Client,82 BIS RUE DE L EGLISE,,,14000,CAEN
ELIOR SERVICES POUR CHU DE CAEN,15555,Client,AVENUE DE LA COTE DE NACRE,,,14000,CAEN
PREMIER RANG,5638,Client,16, PLACE SAINT SAUVEUR,,,14000,CAEN
COMEDIE DE CAEN,11554,Client,32 RUE DES CORDES,,,14000,CAEN
CHU DE CAEN,4688,Client,AVENUE COTE DE NACRE,,,14000,CAEN
LE MEMORIAL,3430,Client,ESPLANADE D. EISENHOWER,,,14000,CAEN
CHAMBRE D AGRICULTURE DE REGION NORMANDIE,10365,Client,6 RUE DES ROQUEMONTS,,,14000,CAEN
HAMELIN,11045,Client,AVENUE DU GENERAL HARRIS,,,14000,CAEN
SYSTEME U - NORD OUEST,3168,Client,14 AVENUE DE LA COTE DE NACRE,,,14000,CAEN
BTP CFA BASSE-NORMANDIE,5816,Client,14, RUE DE LA COTONNIERE,,,14000,CAEN
CALVADOS ATTRACTIVITE,6426,Client,8 RUE RENOIR,,,14000,CAEN
IGOL NORMANDIE,3181,Client,28 RUE DOCTEUR TILLAUX,,,14000,CAEN
ZENITH,4167,Client,RUE JOSEPH PHILIPPON,,,14000,CAEN
FEELING COURSES,3569,Client,CITIS HEROUVILLE,,,14000,CAEN
CENTRE PENITENTIAIRE DE CAEN ECONOMAT,9607,Client,35 RUE GENERAL MOULIN,,,14000,CAEN
GANIL,11132,Client,BD HENRI BECQUEREL,,,14000,CAEN
CAISSE D EPARGNE,5204,Client,7, RUE DU COLONEL REMY,,,14000,CAEN
ATOS - ATG - TOLKIT,208,Client,ROUTE DE COURTONNE,,,14100,GLOS
FINITECH,15800,Client,103 IMPASSE JEAN LEFEVRE,,,14100,HERMIVAL LES VAUX
D ELECTRICITE ET D AUTOMATISME,8916,Client,RUE DE LA MUTUALITE,,,14100,HERMIVAL LES VAUX
VRVN - VEOLIA RECYCLAGE,12447,Client,184 RUE ANDRE COUSINET,POLE DE L ESPERANCE,,14100,LISIEUX
ANTOINE OUEST,16046,Client,ROUTE DE CORMEILLES,ZI NORD,,14100,LISIEUX
SCA NORMANDE,6076,Client,106 RUE PAUL CORNU,ZI NORD,,14100,LISIEUX
SEEL,12468,Client,ZA SAINT DESIR,,,14100,LISIEUX
INTERSTOVES NORMANDIE,14104,Client,1067 AVENUE GEORGES DUVAL,,,14100,LISIEUX
