label,energy,engine,externalid,label,type,imei,label,manufacturer,model,serialnumber,simnumber,d_comment,dvi_date
SPRINTER 5980,DIESEL,,GJ673AY,SPRINTER 5980,LCV,350612078735980,350612078735980,DT,FMT100,1132560215,8944477100002168931,,2023-11-13 10:23:00.000000
TRAFIC 6007,DIESEL,,GP929EQ,TRAFIC 6007,LCV,350612073596007,350612073596007,DT,FMT100,1131765614,8944477100002168311,,2023-11-13 10:32:00.000000
VITO 9858,DIESEL,,FM633JE,VITO 9858,LCV,350612077599858,350612077599858,DT,FMT100,1132560980,8944477100002171943,,2023-11-13 10:36:00.000000
SPRINTER 8181,DIESEL,,GJ592AY,SPRINTER 8181,LCV,350612077598181,350612077598181,DT,FMT100,1132561012,8944477100002171950,,2023-11-13 10:42:00.000000
CRAFTER 8173,DIESEL,,FE768DB,CRAFTER 8173,LCV,350612077598173,350612077598173,DT,FMT100,1132561009,8944477100002171968,,2023-11-13 10:46:00.000000
MASTER 5975,DIESEL,,GL105QV,MASTER 5975,LCV,350612077225975,350612077225975,DT,FMT100,1132561003,8944477100002171935,,2023-11-13 10:52:00.000000
CRAFTER 2621,DIESEL,,GP816DV,CRAFTER 2621,LCV,350612075522621,350612075522621,DT,FMT100,1131612676,8944477100002168964,,2023-11-13 10:56:00.000000
PARTNER 3455,DIESEL,,FY865CG,PARTNER 3455,LCV,350612077593455,350612077593455,DT,FMT100,1132560912,8944477100002172081,,2023-11-13 11:07:00.000000
308 8009,DIESEL,,GH657MW,308 8009,PC,350612077598009,350612077598009,DT,FMT100,1132560984,8944477100002171869,,2023-11-13 11:09:00.000000
A6 3539,GAZ+ELEC HNR,,FY175AH,A6 3539,PC,350612077593539,350612077593539,DT,FMT100,1132560947,8944477100002171927,,2023-11-13 11:16:00.000000
SUPERB 6834,DIESEL,,FS512XH,SUPERB 6834,PC,350612077626834,350612077626834,DT,FMT100,1132561017,8944477100002171844,,2023-11-13 11:21:00.000000
CADDY 8116,DIESEL,,FW630FB,CADDY 8116,LCV,350612077598116,350612077598116,DT,FMT100,1132561005,8944477100002171976,,2023-11-13 11:32:00.000000
ACTROS 8017,DIESEL,,FB693VV,ACTROS 8017,OGV2,350612077598017,350612077598017,DT,FMT100,1132561006,8944477100002172016,,2023-11-13 11:40:00.000000
GOLF 5820,DIESEL,,GB119TT,GOLF 5820,PC,350612075545820,350612075545820,DT,FMT100,1131607685,8944477100002169038,,2023-11-15 11:24:00.000000
208 6023,DIESEL,,DH276KS,208 6023,PC,350612073596023,350612073596023,DT,FMT100,1131765623,8944477100002168899,,2023-11-15 11:47:00.000000
PARTNER 0192,DIESEL,,GQ068WR,PARTNER 0192,LCV,350612077610192,350612077610192,DT,FMT100,1132560803,8944477100002171067,,2023-11-15 11:56:00.000000
PARTNER 9635,DIESEL,,GQ970WQ,PARTNER 9635,LCV,350612077599635,350612077599635,DT,FMT100,1132560982,8944477100002171885,,2023-11-15 12:47:00.000000
PARTNER 3786,DIESEL,,GN994WX,PARTNER 3786,LCV,350612077593786,350612077593786,DT,FMT100,1132560953,8944477100002171919,,2023-11-15 13:57:00.000000
PARTNER 9700,DIESEL,,GM546RQ,PARTNER 9700,LCV,350612077599700,350612077599700,DT,FMT100,1132560983,8944477100002171893,,2023-11-15 14:24:00.000000
PARTNER 2649,DIESEL,,ED514XS,PARTNER 2649,LCV,350612078732649,350612078732649,DT,FMT100,1132560251,8944477100002164559,,2023-11-15 14:40:00.000000
MASTER 8817,DIESEL,,EP144CE,MASTER 8817,LCV,350317171528817,350317171528817,DT,FMT100,1128478201,8944476400000673374,,2023-11-16 08:17:00.000000
SPRINTER 9865,DIESEL,,EM720SQ,SPRINTER 9865,LCV,350317171519865,350317171519865,DT,FMT100,1128474780,8944476400000672889,,2023-11-16 08:44:00.000000
CRAFTER 2033,DIESEL,,FH247KR,CRAFTER 2033,LCV,350317171532033,350317171532033,DT,FMT100,1128481365,8944476400000672418,,2023-11-16 09:03:00.000000
SPRINTER 8550,DIESEL,,DV354PX,SPRINTER 8550,LCV,350317171538550,350317171538550,DT,FMT100,1128474948,8944476400000670750,,2023-11-16 09:13:00.000000
CRAFTER 6496,DIESEL,,GL496CA,CRAFTER 6496,LCV,350317171546496,350317171546496,DT,FMT100,1128476533,8944476400000674067,,2023-11-16 09:22:00.000000
JUMPER 9560,DIESEL,,DW802RK,JUMPER 9560,LCV,350612077179560,350612077179560,DT,FMT100,1132340589,8944477100002171224,,2023-11-16 09:33:00.000000
SPRINTER 9080,DIESEL,,FW341JD,SPRINTER 9080,LCV,350612077599080,350612077599080,DT,FMT100,1132560824,8944477100002171323,,2023-11-16 09:44:00.000000
CITAN 0416,DIESEL,,EW642JM,CITAN 0416,LCV,350612077610416,350612077610416,DT,FMT100,1132560796,8944477100002171307,,2023-11-16 09:57:00.000000
GOLF 8281,DIESEL,,EF053VH,GOLF 8281,PC,350612077178281,350612077178281,DT,FMT100,1132339364,8944477100002171133,,2023-11-16 10:06:00.000000
KAROQ 5899,DIESEL,,FY408AH,KAROQ 5899,PC,350612077175899,350612077175899,DT,FMT100,1132336172,8944477100002171166,,2023-11-16 10:23:00.000000
JUMPY 8307,DIESEL,,GG411EM,JUMPY 8307,LCV,350612077178307,350612077178307,DT,FMT100,1132339369,8944477100002171190,,2023-11-16 10:31:00.000000
MASTER 5907,DIESEL,,DY181EV,MASTER 5907,LCV,350612077175907,350612077175907,DT,FMT100,1132336179,8944477100002171141,,2023-11-16 10:43:00.000000
SPRINTER 5824,DIESEL,,DV441AR,SPRINTER 5824,LCV,350612077175824,350612077175824,DT,FMT100,1132336180,8944477100002171182,,2023-11-16 10:54:00.000000
JUMPY 6350,DIESEL,,GA549SF,JUMPY 6350,LCV,350612078736350,350612078736350,DT,FMT100,1132560437,8944477100002169061,,2023-11-16 11:13:00.000000
BERLINGO 6889,DIESEL,,FZ094LY,BERLINGO 6889,LCV,350612078736889,350612078736889,DT,FMT100,1132560623,8944477100002169087,,2023-11-16 11:20:00.000000
SPRINTER 9207,DIESEL,,GJ634AY,SPRINTER 9207,LCV,350612077579207,350612077579207,DT,FMT100,1132561043,8944477100002171208,,2023-11-16 11:36:00.000000
SPRINTER 9510,DIESEL,,BP041NC,SPRINTER 9510,LCV,350612077599510,350612077599510,DT,FMT100,1132560895,8944477100002171216,,2023-11-16 11:48:00.000000
KANGOO 9420,DIESEL,,EW714CD,KANGOO 9420,LCV,350612077179420,350612077179420,DT,FMT100,1132340595,8944477100002171125,,2023-11-16 11:57:00.000000
5008 9404,DIESEL,,FX385QY,5008 9404,PC,350612077179404,350612077179404,DT,FMT100,1132340585,8944477100002171174,,2023-11-16 12:05:00.000000
SPRINTER 9643,DIESEL,,FH639RJ,SPRINTER 9643,LCV,350612077599643,350612077599643,DT,FMT100,1132560954,8944477100002171315,,2023-11-16 12:19:00.000000
MASTER 9263,DIESEL,,EF561JS,MASTER 9263,LCV,350612077179263,350612077179263,DT,FMT100,1132340618,8944477100002169996,,2023-11-16 13:43:00.000000
CRAFTER 5877,DIESEL,,FX537ZK,CRAFTER 5877,LCV,350612073585877,350612073585877,DT,FMT100,1131769668,8944477100002170101,,2023-11-16 13:55:00.000000
MASTER 3443,DIESEL,,EM239TJ,MASTER 3443,LCV,350612073583443,350612073583443,DT,FMT100,1131769661,8944477100002170143,,2023-11-16 14:02:00.000000
MASTER 9883,DIESEL,,EW319CE,MASTER 9883,LCV,350612077179883,350612077179883,DT,FMT100,1132340067,8944477100002170036,,2023-11-16 14:22:00.000000
CRAFTER 0568,DIESEL,,GJ187DL,CRAFTER 0568,LCV,350612077180568,350612077180568,DT,FMT100,1132340625,8944477100002170127,,2023-11-16 14:41:00.000000
MASTER 7251,DIESEL,,DD603LZ,MASTER 7251,LCV,350612077157251,350612077157251,DT,FMT100,1132339865,8944477100002170044,,2023-11-16 14:51:00.000000
C4 6815,DIESEL,,GL086VP,C4 6815,PC,350612077166815,350612077166815,DT,FMT100,1132340586,8944477100002171000,,2023-11-16 15:00:00.000000
A6 3463,Hybride Gazole,,GA850VG,A6 3463,PC,350612077593463,350612077593463,DT,FMT100,1132560919,8944477100002171018,,2023-11-16 15:11:00.000000
SPRINTER 0633,DIESEL,,FA341JN,SPRINTER 0633,LCV,350317171360633,350317171360633,DT,FMT100,1128485736,8944476400000672087,,2023-11-16 08:31:00.000000
SUPERB 1782,DIESEL,,GN866NW,SUPERB 1782,PC,350612078721782,350612078721782,DT,FMT100,1132560628,8944477100002168261,,2023-11-17 12:41:00.000000
CRAFTER 5980,DIESEL,,EZ296BR,CRAFTER 5980,LCV,350612077175980,350612077175980,DT,FMT100,1132336176,8944477100002171117,,2023-11-17 13:07:00.000000
SPRINTER 1138,DIESEL,,EV849GK,SPRINTER 1138,LCV,350612078731138,350612078731138,DT,FMT100,1132560373,8944477100002168303,,2023-11-17 13:16:00.000000
CRAFTER 7296,DIESEL,,FL841FB,CRAFTER 7296,LCV,350612076887296,350612076887296,DT,FMT100,1132711469,8944477100002164542,,2023-11-17 13:51:00.000000
CRAFTER 8264,DIESEL,,GA164RH,CRAFTER 8264,LCV,350612077598264,350612077598264,DT,FMT100,1132560989,8944477100002171877,,2023-11-17 13:55:00.000000
BOXER 5915,DIESEL,,EJ714PG,BOXER 5915,LCV,350612077175915,350612077175915,DT,FMT100,1132336182,8944477100002171059,,2023-11-17 14:05:00.000000
CRAFTER 5135,DIESEL,,FL482KL,CRAFTER 5135,LCV,350612077605135,350612077605135,DT,FMT100,1132560868,8944477100002172164,,2023-11-17 14:11:00.000000
CRAFTER 7343,DIESEL,,GK722QC,CRAFTER 7343,LCV,350612077157343,350612077157343,DT,FMT100,1132339873,8944477100002169863,,2023-11-17 14:24:00.000000
TRAFIC 9909,DIESEL,,DW623BM,TRAFIC 9909,LCV,350612077179909,350612077179909,DT,FMT100,1132340078,8944477100002169871,,2023-11-17 14:30:00.000000
CRAFTER 9081,DIESEL,,GN545CJ,CRAFTER 9081,LCV,350612077179081,350612077179081,DT,FMT100,1132340612,8944477100002169970,,2023-11-17 14:35:00.000000
