Dénomination,Regroupement,Type,Libellé,Adresse,Code Postal,Ville,Pays,Longitude,Latitude,Rayon(m)
0013 AGM,,Client / Chantier,Client,Z I  RUE DES POTTIERS,76440,FORGES LES EAUX,FRA,0.0,0.0,220
10029 NEVEU LOGISTIQUE 1,,Client / Chantier,Client,30 Rue Bill Coleman,76810,Luneray,FRA,0.91765,49.82077,0
10029 NEVEU LOGISTIQUE  2,,Client / Chantier,Client,Rue de la Guillotine,76810,Luneray,FRA,0.91563,49.81855,0
10029 NEVEU LOGISTIQUE 3,,Client / Chantier,Client,414 Rue de la Mairie,76550,Sauqueville,FRA,1.07004,49.85807,0
10061 - NEXIRA,,Client / Chantier,Client,129 CHEMIN DE CROISSET,76123,ROUEN,FRA,1.04671,49.44691,0
1008 CARPENTER Engineered Foams,,Client / Chantier,Client,rue de la Mécanique,27400,Louviers,FRA,1.16439,49.22886,0
1008 Carpenter Enginneered Foams,,Client / Chantier,Client,rue de la la mécanique,27400,LOUVIERS,FRA,1.1663,49.2303,220
1008 CARPENTER Enginneered Foams,,Client / Chantier,Client,RUE DE LA MECANIQUE,27400,LOUVIERS,FRA,1.1663,49.2303,220
10389 - PAPREC PT QUEVILLY,,Client / Chantier,Client,2 RUE DU MANOIR QUEVAL,76140,Le Petit-Quevilly,FRA,1.04748,49.43353,0
1041 ROUSSEAU 1,,Client / Chantier,Client,360 Boulevard des Frères Rousseau,76550,Offranville,FRA,1.05478,49.86523,0
1041 ROUSSEAU 2,,Client / Chantier,Client,RUE DU HÊTRE,76550,OFFRANVILLE,FRA,1.05429,49.86449,15
10433 NUSBAUMER,,Client / Chantier,Client,Rue du Marais,76340,Blangy-sur-Bresle,FRA,1.64913,49.92637,0
10452 Biopack le val de reuil,,Client / Chantier,Client,Avenue des falaises,27100,Val-de-Reuil,FRA,1.21663,49.27157,15
10467 Condivex,,Client / Chantier,Client,,27150,Étrépagny,FRA,1.62072,49.30133,15
10467 CONDIVEX,,Client / Chantier,Client,RUE DE LA PORTE ROUGE,27150,ETREPAGNY,FRA,1.6209,49.3012,220
10498 SURPRISEZ-VOUS,,Client / Chantier,Client,,76520,Boos,FRA,1.21242,49.38919,2
10584 SFC,,Client / Chantier,Client,UNITE DE TRANSIERES,27380,CHARLEVAL,FRA,1.3741,49.3932,220
10787 CENTRE D'ESSAI RENAULT,,Client / Chantier,Client,RUE DE LA PORTE AUX CHIENS,27940,AUBEVOYE,FRA,1.31468,49.17356,15
10787 ENGIE ENERGIE SERVICES,,Client / Chantier,Client,,27940,AUBEVOYE,FRA,1.3186,49.1697,220
10787 ENGIE SERVICES,,Client / Chantier,Client,,27940,AUBEVOYE,FRA,1.3125,49.1699,220
11201 Ovopharm,,Client / Chantier,Client,Rue de Léry,27100,Val-de-Reuil,FRA,1.1734,49.23951,0
11237 - CLINIQUE DE L EUROPE,,Client / Chantier,Client,73 Boulevard de l'Europe,76100,Rouen,FRA,1.08639,49.4252,0
1127 ASPEN,,Client / Chantier,Client,1 Rue de l'Abbaye,76960,Notre-Dame-de-Bondeville,FRA,1.0443,49.4933,0
11315 ITM,,Client / Chantier,Client,786 Allée de la Butte à Colas,27400,Heudebouville,FRA,1.222,49.19018,2
11315 ITM,,Client / Chantier,Client,Allée de la Butte à Colas,27400,Heudebouville,FRA,1.2228,49.1887,220
11315 ITM Heudebouville,,Client / Chantier,Client,,27400,Heudebouville,FRA,1.22183,49.19092,2
11323 MOONEN,,Client / Chantier,Client,Rue de l'Église,76740,Héberville,FRA,0.8043,49.7791,220
11396 Point P Louviers,,Client / Chantier,Client,"53, avenue Winston CHURCHILL",27400,Louviers,FRA,1.16845,49.23167,15
11398 POINT P MAROMME,,Client / Chantier,Client,Route de Londres à Palerme,76150,Saint-Jean-du-Cardonnay,FRA,1.01522,49.49165,15
11429 - PLATEFORME GO,,Client / Chantier,Client,Chemin de Halage,76300,Sotteville-lès-Rouen,FRA,1.11407,49.40536,0
1148 EUROPHANE,,Client / Chantier,Client,ROUTE DE PAIX,27700,LES ANDELYS,FRA,1.4144,49.2554,220
1148 EUROPHANE,,Client / Chantier,Client,,27700,Les Andelys,FRA,1.41527,49.25602,2
1159 SDSM EXPLOITATION,,Client / Chantier,Client,RUE DE LA GRANDE FLANDRE,76270,NEUFCHATEL EN BRAY,FRA,1.4322,49.7356,220
11658 LECLERC DRIVE MESNIL ESNARD,,Client / Chantier,Client,,76520,Franqueville-Saint-Pierre,FRA,1.15373,49.40486,2
11658 LECLERC DRIVE MESNIL ESNARD,,Client / Chantier,Client,,76520,LE MESNIL ESNARD,FRA,1.15417,49.40497,2
11866 MARGOT,,Client / Chantier,Client,Avenue du Commandant Bicheray,76000,Rouen,FRA,1.0516,49.4504,220
1191 ENT  REGIONALE DE L HABITAT,,Client / Chantier,Client,BOULEVARD DE NORMANDIE,76360,BARENTIN,FRA,0.9727,49.5344,220
1202 SIKA,,Client / Chantier,Client,Z I,76220,GOURNAY EN BRAY,FRA,1.7278,49.4921,220
12193 SUPER U,,Client / Chantier,Client,COMMERCIAL DES COQUETS,76130,Mont-Saint-Aignan,FRA,1.0787,49.4624,220
12244 - SURVEYFERT,,Client / Chantier,Client,Quai de Petit Couronne,76650,Petit-Couronne,FRA,1.01535,49.38807,0
12269 ATA PHARMA,,Client / Chantier,Client,Route d'Ingremare,27400,Heudebouville,FRA,1.22859,49.18705,0
12273 MILLANCOURT ET NICLOAS,,Client / Chantier,Client,,80290,Morvillers-Saint-Saturnin,FRA,1.808,49.7545,220
12274 MILLANCOURT ET NICOLAS,,Client / Chantier,Client,3 Rue du 8 Mai,80130,Friville-Escarbotin,FRA,1.5542,50.0873,220
12276 MILLANCOURT ET NICOLAS,,Client / Chantier,Client,RUE DE LA BETHUNE,76270,NEUFCHATEL EN BRAY,FRA,1.432,49.7282,220
12278 MILLANCOURT ET NICOLAS,,Client / Chantier,Client,RUE LEGOUT LESAGE,76260,PONTS ET MARAIS,FRA,1.4452,50.0432,220
1231 SOCOPAL SAS,,Client / Chantier,Client,146 Rue d'Auffay,76950,Les Grandes-Ventes,FRA,1.22603,49.7841,0
12370 SANOFI,,Client / Chantier,Client,ROUTE DE LERY,27100,,FRA,1.17515,49.24105,15
12370 Sanofi site bas,,Client / Chantier,Client,Voie Babeure,27100,Val-de-Reuil,FRA,1.17483,49.24167,15
12391 - VIR TRANSPORT,,Client / Chantier,Client,15 rue Etienne DOLET,76140,LE PETIT QUEVILLY,FRA,1.0431,49.4321,220
1239 SILGAN,,Client / Chantier,Client,185 Route du Tréport,76260,Eu,FRA,1.39415,50.05564,0
1242 SOFRILOG,,Client / Chantier,Client,RUE DES JARDINS OUVRIERS,76200,DIEPPE,FRA,1.0891,49.9147,220
12439 YVON ET FILS,,Client / Chantier,Client,Impasse de la Sucrerie,80770,Beauchamps,FRA,1.519,50.014,220
1244 - SEA INVEST,,Client / Chantier,Client,Boulevard Maritime,76530,Grand-Couronne,FRA,0.99772,49.36481,2
12470 - ZAMENHOF,,Client / Chantier,Client,RUE DE LA COOPERATIVE,76120,LE GRAND QUEVILLY,FRA,1.04145,49.42144,0
1256 Soprema,,Client / Chantier,Client,Avenue Winston Churchill,27400,LOUVIERS,FRA,1.1682,49.2262,220
1256 SOPREMA,,Client / Chantier,Client,,27100,VAL DE REUIL,FRA,1.175,49.2435,220
1256 SOPREMA,,Client / Chantier,Client,Parc d'affaires des Portes,27100,Val-de-Reuil,FRA,1.17772,49.25806,15
1256 SOPREMA,,Client / Chantier,Client,Parc d'affaires des portes,27100,Val-de-Reuil,FRA,1.17869,49.25918,0
1279 CAROLINE,,Client / Chantier,Client,Impasse du Petit Pré,76220,Ferrières-en-Bray,FRA,1.7379,49.4787,220
12859 - NORMANDIE SOLUTION,,Client / Chantier,Client,13 Boulevard du Midi,76100,Rouen,FRA,1.04048,49.43212,0
1289 - TTOM,,Client / Chantier,Client,Boulevard de l'île des oiseaux,76530,Grand-Couronne,FRA,0.97462,49.34814,0
128 - BUTAGAZ,,Client / Chantier,Client,BOULEVARD MARITIME,76650,PETIT COURONNE,FRA,1.0105,49.3789,220
12994 POMONA TERRE AZUR,,Client / Chantier,Client,9 RUE BERTHELOT,76150,Maromme,FRA,1.02824,49.48459,0
1302 APTAR FRANCE,,Client / Chantier,Client,"56, AVENUE DU DOYEN JUSSIAUME",27110,LE NEUBOURG,FRA,0.9087,49.1591,220
13086 SYSCO,,Client / Chantier,Client,D927,76890,Beautot,FRA,1.04869,49.63984,0
13137 Bosmy cloture Pitres,,Client / Chantier,Client,7 Route des Écluses,27590,Pîtres,FRA,1.2308,49.3147,220
132 Barry,,Client / Chantier,Client,Rue de la Mécanique,27400,Louviers,FRA,1.1676,49.2325,220
13318 GAZFIO,,Client / Chantier,Client,Rue de la Violette de Rouen,27610,Romilly-sur-Andelle,FRA,1.2586,49.3249,220
13320 SOLMUR,,Client / Chantier,Client,6 AVENUE DES HAUTS GRIGNEUX,76420,BIHOREL,FRA,1.1369,49.4671,220
1342 MOTTIN  SUPER U,,Client / Chantier,Client,Rue des Étangs,76340,Blangy-sur-Bresle,FRA,1.63731,49.92987,0
13431 - MEROPUR,,Client / Chantier,Client,STATION EMERAUDE,76140,LE PETIT QUEVILLY,FRA,1.04205,49.42851,0
1357 FRESENIUS,,Client / Chantier,Client,6 rue des Remparts,27400,LOUVIERS,FRA,1.1747,49.21351,15
1357 FRESENIUS Louviers,,Client / Chantier,Client,"6, rue du Rempart",27400,Louviers,FRA,1.1745,49.2129,220
1357 FRESENIUS LOUVIERS,,Client / Chantier,Client,6 Rue du Rempart,27400,LOUVIERS,FRA,1.1729,49.2146,220
13595 BUTAGAZ,,Client / Chantier,Client,Boulevard Victor Hugo,76390,Aumale,FRA,1.75591,49.77564,0
13692 MOULIN D'AUGUSTE,,Client / Chantier,Client,32 Rue Dumont,27700,Les Andelys,FRA,1.41765,49.24549,0
13739 ATA,,Client / Chantier,Client,Z.I. Ecoparc 3,27400,Heudebouville,FRA,1.2281,49.1879,220
1373 POCHET DU COURVAL,,Client / Chantier,Client,,76340,HODENG AU BOSC,FRA,1.7084,49.8868,220
1376 SANOFI LE TRAIT,,Client / Chantier,Client,Boulevard Industriel,76580,Le Trait,FRA,0.79423,49.483,0
13808  Transport NOYON,,Client / Chantier,Client,662 Boulevard de Normandie,76360,Barentin,FRA,0.96962,49.53816,0
13839 LANEF PRO,,Client / Chantier,Client,16 Avenue Carnot,76250,Déville-lès-Rouen,FRA,1.0573,49.4554,220
13852 SUPER U BIHOREL,,Client / Chantier,Client,6 AVENUE DU MARECHAL JUIN,76420,Bihorel,FRA,1.1258,49.4627,220
13852 SUPER U BIHOREL,,Client / Chantier,Client,196 Avenue du Maréchal Juin,76420,Bihorel,FRA,1.12545,49.46265,0
1386 - DACHSER,,Client / Chantier,Client,Rue du Petit Champ,76800,Saint-Étienne-du-Rouvray,FRA,1.1155,49.3985,220
14024 UCPA BOIS GUILLAUME,,Client / Chantier,Client,66 Allée Fleming,76230,Bois-Guillaume,FRA,1.12077,49.46335,0
14144 SACCOF PACKAGING,,Client / Chantier,Client,Route de Barentin,76480,Saint-Pierre-de-Varengeville,FRA,0.92267,49.51933,0
14179 PARIES,,Client / Chantier,Client,Chemin de  Léry,27400,LOUVIERS,FRA,1.1712,49.2329,220
143 CARREFOUR HYPERMARCHES,,Client / Chantier,Client,782 Boulevard de Normandie,76360,Barentin,FRA,0.96817,49.53713,0
14485 ATA ECOPARC 1,,Client / Chantier,Client,ECOPARC,27400,HEUDEBOUVILLE,FRA,1.2233,49.2013,220
14726 DESTAMPES EMBALLAGES,,Client / Chantier,Client,Chemin Noir,27660,Bernouville,FRA,1.6907,49.29205,0
14750 - GQ LOGISTICS,,Client / Chantier,Client,ZI DU GRAND LAUNAY,76120,LE GRAND QUEVILLY,FRA,1.02771,49.40087,0
14775 ALKERN,,Bureau / Dépôt,Bureau,Rue Daire,80290,Gauville,FRA,1.79663,49.77774,0
14964 - REVIVAL,,Client / Chantier,Client,438 Chemin du gard,76120,Le Grand-Quevilly,FRA,1.03791,49.42651,0
14990 EURO CHANNEL LOGISTIC,,Client / Chantier,Client,344 Route de Neufchâtel,76510,Dampierre-Saint-Nicolas,FRA,1.2033,49.8614,220
15029 - BRANGEON,,Client / Chantier,Client,12 RUE ETIENNE DOLET,76140,Le Petit-Quevilly,FRA,1.04305,49.43138,0
15043 CHAUSSON MATERIAUX,,Client / Chantier,Client,2 RUE EUGENE LAVOISIER,76160,SAINT LEGER DU BOURG DENIS,FRA,1.1503,49.4352,220
15048 LES RESTO DU COEUR,,Client / Chantier,Client,857 RUE DE LA LONDE,76520,MESNIL RAOUL,FRA,1.2598,49.3883,220
15118 DYKA,,Client / Chantier,Client,,27600,Gaillon,FRA,1.35237,49.16592,0
15266  Fonderie CBI,,Client / Chantier,Client,moulin aux armures,76340,Blangy-sur-Bresle,FRA,1.62074,49.9352,0
15377 - GRAND PORT FLUVIO MARITIME,,Client / Chantier,Client,5 BOULEVARD DE CROISSET,76380,DIEPPEDALLE CROISSET,FRA,1.03755,49.43778,0
15419 XPO,,Client / Chantier,Client,Rue Bouvreuil,76890,Calleville-les-Deux-Églises,FRA,1.02325,49.70694,0
15439 FALCH,,Client / Chantier,Client,1049 Avenue Charles de Gaulle,76760,Yerville,FRA,0.88305,49.66338,0
15596 MECA INOX,,Client / Chantier,Client,"Rue Gustave Eiffel, Gisors [27140], France",27140,Gisors,FRA,1.79032,49.26047,0
1627 WALOR,,Client / Chantier,Client,129 Boulevard des Frères Rousseau,76550,Offranville,FRA,1.05153,49.86416,0
1747 SNOP,,Client / Chantier,Client,461 Route de Barentin,76480,Saint-Pierre-de-Varengeville,FRA,0.92286,49.51925,0
1780 - SMEDAR,,Client / Chantier,Client,40 bld Stalidgrad,76121,Le Grand-Quevilly,FRA,1.03107,49.42921,0
184 NUFARM,,Client / Chantier,Client,815 Route de la Garenne,27600,Gaillon,FRA,1.38127,49.16776,0
1889 PARICHE,,Client / Chantier,Client,LIEU-DIT VERT BOCAGE,80220,BOUILLANCOURT-EN-SÉRY,FRA,1.6464,49.9452,220
1954 STG,,Client / Chantier,Client,Rue Ampère,76150,Maromme,FRA,1.02498,49.48403,2
2145 MOULIN PAUL DUPUIS,,Client / Chantier,Client,RUE DE FERRIERES,76220,GOURNAY EN BRAY,FRA,1.7293,49.4821,220
2155 NUTRISET,,Client / Chantier,Client,Route du Bois Ricard,76770,Malaunay,FRA,1.00919,49.51208,0
2234 SCHNEIDER LE VAUDREUIL,,Client / Chantier,Client,,27100,Le Vaudreuil,FRA,1.21622,49.26065,2
2234 SHNEIDER,,Client / Chantier,Client,Rue du Pont-Vert,27100,Le Vaudreuil,FRA,1.2153,49.2621,220
2234 SHNEIDER LE VAUDREUIL,,Client / Chantier,Client,,27100,Le Vaudreuil,FRA,1.21628,49.26033,2
2247 - Fabien BREANT,,Client / Chantier,Client,Voie D,76160,Saint-Jacques-sur-Darnétal,FRA,1.182,49.4402,220
2406 - TOTAL LUBRIFIANTS,,Client / Chantier,Client,RUE DE MADAGASCAR,76100,ROUEN,FRA,1.05471,49.43495,15
2470 eurarma,,Client / Chantier,Client,AVENUE WINSTON CHURCHILL,27400,LOUVIERS,FRA,1.1683,49.2266,220
2470 Eurarma,,Client / Chantier,Client,"45, venue Winston Churchill",27400,Louviers,FRA,1.16676,49.22726,0
2470 EURARMA,,Client / Chantier,Client,AVENUE WINSTON CHURCHILL,27400,LOUVIERS,FRA,1.1683,49.2266,220
2635 GEODIS PHARMA,,Client / Chantier,Client,Chaussée du Village,27100,Val-de-Reuil,FRA,1.2038,49.2639,140
2684 DANONE,,Client / Chantier,Client,RUE DE SAVIGNIE,76220,FERRIERES EN BRAY,FRA,1.7488,49.4796,300
269 TERRE DE LIN,,Client / Chantier,Client,VILLAGE,76740,SAINT PIERRE LE VIGER,FRA,0.8548,49.8281,220
270 TERRE DE LIN,,Client / Chantier,Client,Route de la Linerie,76590,Crosville-sur-Scie,FRA,1.09239,49.81844,0
2756 LEROY MERLIN TOURVILLE,,Client / Chantier,Client,Terres du Port d'Ossel,76410,Tourville-la-Rivière,FRA,1.09044,49.33041,0
2964 - RHODANIENNE DE TRANSIT,,Client / Chantier,Client,Boulevard Pierre Brossette,76120,Le Grand-Quevilly,FRA,1.03488,49.41861,0
2982 SSV,,Client / Chantier,Client,Chemin Vert du Petit Caux,76260,Saint-Rémy-Boscrocourt,FRA,1.38306,50.00874,0
2CSM,,Client / Chantier,Client,CHEMIN FINE MARE,27210,SAINT SULPICE DE GRIMBOUVILLE,FRA,0.0,0.0,220
2D Pneumatique Heudebouville,,Client / Chantier,Client,Z.I. Ecoparc 2,27400,Heudebouville,FRA,1.22767,49.19178,-1
3066 LA BRECHE ASSOCIATION,,Client / Chantier,Client,LA BRECHE,76440,SAUMONT LA POTERIE,FRA,1.6089,49.5703,220
3561 PRO STEEL,,Client / Chantier,Client,ROUTE DE LA PORTE ROUGE,27150,ETREPAGNY,FRA,1.623,49.3028,220
365 - DEKRA TOURVILLE LA RIVIERE,,Fournisseur,Fournisseur,Avenue Gustave Picard,76410,Tourville-la-Rivière,FRA,1.09434,49.33025,15
376 - IDEA EMBALLAGE,,Client / Chantier,Client,ZAC DU GRAND LAUNAY,76120,Le Grand-Quevilly,FRA,1.02862,49.40404,0
3792 MILTON ROY EUROPE,,Client / Chantier,Client,GRANDE RUE,27360,PONT SAINT PIERRE,FRA,1.2775,49.3306,220
3917 BRENNTAG,,Client / Chantier,Client,13 Sente des Jumelles,76710,Montville,FRA,1.06052,49.54086,0
3CI,,Client / Chantier,Client,43 RUE DANIELLE CASANOVA,76410,TOURVILLE LA RIVIERE,FRA,1.1117,49.3249,220
3G LOCATION,,Client / Chantier,Client,RUE DE LA JAUNIÈRE,27930,ANGERVILLE-LA-CAMPAGNE,FRA,1.1567,48.9824,220
3 L Diffusion,,Client / Chantier,Client,Z.A. LES HAUTES VARENDES,14680,BRETTEVILLE-SUR-LAIZE,FRA,-0.3128,49.0588,220
4268 HELIODIS,,Client / Chantier,Client,VOIE DU FUTUR,27100,VAL DE REUIL,FRA,1.18027,49.2549,15
42 Ashland,,Client / Chantier,Client,ZI USINE D ALIZAY,27460,ALIZAY - FRANCE,FRA,1.1763,49.3092,220
42 Ashland,,Client / Chantier,Client,ZI LE CLOS PRE,,ALIZAY,FRA,1.17754,49.30995,15
4381 BURAY ET FILS,,Client / Chantier,Client,RUE DE LA GRANDE FLANDRE,76270,NEUFCHATEL EN BRAY,FRA,1.4322,49.7356,220
4403 SMAC ACIEROID,,Client / Chantier,Client,BOULEVARD GABRIEL PERI,76410,CLEON,FRA,1.0612,49.3131,220
4501 ALKERN,,Client / Chantier,Client,RUE BOUCHER DE PERTHES,76410,TOURVILLE LA RIVIERE,FRA,1.0728,49.3173,220
4501 Alkern  Tourville,,Client / Chantier,Client,29 Boulevard Gabriel Péri,76410,Tourville-la-Rivière,FRA,1.07249,49.3178,15
4711 - EP DIS,,Client / Chantier,Client,ZI DU GRAND LAUNAY,76121,LE GRAND QUEVILLY,FRA,1.02879,49.40202,0
473 CARRIER,,Client / Chantier,Client,139 RUE CONSTANT LEBRET,76520,FRANQUEVILLE-SAINT-PIERRE,FRA,1.1797,49.3985,220
